codigo_procedimento,status,justificativa,valor,especialidade
PROC004,Negado,Incompatibilidade técnica entre o CID informado e o procedimento solicitado.,4406.19,Clínica Médica
PROC004,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,2274.25,Cirurgia Cardiovascular
PROC003,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,20170.08,Pneumologia
PROC018,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,28558.75,Urologia
PROC001,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",10592.05,Gastroenterologia
PROC007,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,4469.01,Ortopedia e Traumatologia
PROC012,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,25864.93,Anestesiologia
PROC018,Negado,Fracionamento indevido de códigos TUSS do procedimento cirúrgico principal.,1879.0,Oncologia
PROC010,Negado,Negativa por Cobertura Parcial Temporária (CPT) vigente para doença preexistente.,10603.66,Anestesiologia
PROC003,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,34500.49,Cardiologia
PROC008,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,22686.13,Oncologia
PROC012,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,23851.92,Gastroenterologia
PROC003,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,6723.0,Anestesiologia
PROC013,Negado,"Procedimento experimental, off-label ou fora do rol de coberturas contratuais.",4343.27,Infectologia
PROC011,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,28410.55,Cardiologia
PROC013,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",8386.78,Infectologia
PROC016,Negado,"Divergência na codificação TUSS, lateralidade ou preenchimento incorreto da guia.",3000.25,Ginecologia e Obstetrícia
PROC005,Negado,"Procedimento experimental, off-label ou fora do rol de coberturas contratuais.",5097.98,Reumatologia
PROC019,Negado,Fracionamento indevido de códigos TUSS do procedimento cirúrgico principal.,6834.94,Urologia
PROC005,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,30305.28,Neurocirurgia
PROC005,Negado,Fracionamento indevido de códigos TUSS do procedimento cirúrgico principal.,10937.16,Gastroenterologia
PROC013,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,19084.06,Ginecologia e Obstetrícia
PROC018,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,24241.81,Clínica Médica
PROC018,Negado,Negativa por Cobertura Parcial Temporária (CPT) vigente para doença preexistente.,2452.16,Infectologia
PROC014,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,34049.82,Gastroenterologia
PROC006,Negado,"Tratamento elegível para via ambulatorial, sem justificativa clínica para internação.",15229.21,Neurocirurgia
PROC017,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",26972.87,Anestesiologia
PROC018,Negado,Falta de comprovação do esgotamento de linhas de tratamento conservadoras.,6172.73,Neurocirurgia
PROC001,Negado,"Tratamento elegível para via ambulatorial, sem justificativa clínica para internação.",4690.42,Oncologia
PROC008,Negado,"Glosa técnica por incompatibilidade, redundância ou excesso de OPMEs solicitadas.",13308.38,Pediatria
PROC003,Negado,Ausência de exames complementares que comprovem a necessidade do procedimento.,12045.64,Cirurgia Cardiovascular
